"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IDO1",0.188334319893814,1.21596518246691,7.06687765793473,0.0683178791666732,0.793801876072498,1
"IDO2",0.0718129472132664,-1.62903736391168,7.06181899735966,0.0931199228914492,0.760247668236692,1
"IDSP1",4.05252559167696,0.606120577934792,3.14748362334115,0.0214485071665571,0.883563720393898,1
"IFI16",26.370708257732,-0.186122791132461,1.97771435479523,-0.0479225528339455,1,1
"IFI27",4.64575105470549,-1.42270637929081,2.46284560916576,0.333151157937969,0.563809437090016,1
"IFI27L2",3.88804701877619,-0.775782417304599,3.25211652595816,0.0334084970319104,0.85497070925734,1
"IFI30",1.23116635325824,-0.886241479694926,3.71970852705025,0.0526801872790017,0.818463496361461,1
"IFI44",0.265212764202856,-0.210031843635393,7.06291996529994,0.000246553694447371,0.987472108804367,1
"IFIT1B",0.57680825947778,-3.16949446156272,6.97154431703075,0.238272046216698,0.625456928941882,1
"IFIT1P1",1.0574699572756,-0.170800117115619,4.74643188994745,0.000814333469570272,0.977234234203576,1
"IFIT2",4.43607451794352,3.53277321655097,2.53451225074688,2.22884017206464,0.135455494857114,1
"IFITM10",0.303992005109354,-3.60530666702264,6.95784979307579,0.284696908787257,0.593639092121995,1
"IFITM3P1",3.37614926733749,-2.09653010217368,2.83879434539663,0.778869101266423,0.377487232092533,1
"IFITM3P2",2.48053217192593,-1.2353254198578,3.90556501121383,0.207557288328289,0.648688750418,1
"IFITM3P3",0.807915945587278,0.236199360412463,6.82624146486458,0.000728744472414888,0.978463508571123,1
"IFITM3P5",0.376935349486283,-2.17037816391262,6.95689877392806,0.0619637570685789,0.803418639026202,1
"IFITM3P8",0.187423289315691,1.21245369958472,7.06705640704393,0.0680142088828628,0.794250338981221,1
"IFITM5",0.151234430569686,2.23691836443593,6.9920026885032,0.149202593241247,0.699298556292606,1
"IFNA11P",0.947031433428031,-5.1605710248456,6.90613786172259,0.858509085781749,0.354156249883196,1
"IFNA12P",0.338156108579784,0.773886214445844,6.99107215953805,0.00851921042187875,0.926460030865388,1
"IFNA2",0.0718129472132664,-1.62903736391168,7.06181899735966,0.0931199228914492,0.760247668236692,1
"IFNA20P",0.961952823555754,4.4748034692094,4.65207423959148,1.13581036406866,0.286539362496792,1
"IFNA21",0.0718129472132664,-1.62903736391168,7.06181899735966,0.0931199228914492,0.760247668236692,1
"IFNA22P",0.407138941447505,-0.294028641571995,7.05904652425176,0.00160971690071854,0.967996438540323,1
"IFNA5",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"IFNE",1.08033012103057,4.71621363841907,4.92135938911047,1.14394217599355,0.284820864371192,1
"IFNL3",0.938027477156579,3.53328962847158,6.76303569532896,0.29172052490868,0.58912008129685,1
"IFNL3P1",0.145886688753858,2.18970695948749,6.99443710655929,0.145131418153722,0.703232056622583,1
