"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNU6-1306P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-1311P",0.476238243700479,0.0102294858191557,4.83300592057907,0.00211658872082036,0.998311207799038,1
"RNU6-1315P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-1318P",2.03106895718232,0.837746446731603,2.20926148270599,0.379197507080736,0.704541202645298,1
"RNU6-1321P",1.37781220634114,3.9575300047869,3.37519191807885,1.17253480715832,0.240982406011519,1
"RNU6-1327P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-132P",0.846228287858252,3.23028865378457,4.09126508045157,0.789557408347647,0.429786290382534,1
"RNU6-1337P",1.128304383811,3.64561597515397,3.65288974228581,0.99800876356939,0.31827510912526,1
"RNU6-137P",1.18211185512448,0.507912039669596,3.24516140716117,0.156513644760096,0.875628164820751,1
"RNU6-141P",0.708602425623587,-0.954696374593455,4.0738208123598,-0.234349132808431,0.814713945233892,1
"RNU6-142P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-155P",0.722841119677435,-0.991183606723579,4.0432264593814,-0.245146695759215,0.806342847779307,1
"RNU6-15P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-172P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-181P",1.55210189928225,2.41133162988667,2.80695097669697,0.85905726530506,0.390308922913447,1
"RNU6-190P",2.99510794163231,3.52014533654953,2.51062743634144,1.40209785235168,0.160886028320597,1
"RNU6-199P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-19P",1.85114550348844,1.45387861563282,2.5331784344547,0.573934546362025,0.566012094488901,1
"RNU6-2",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RNU6-202P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-207P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-218P",1.09283116383521,1.77085961096594,3.46577945485968,0.510955654862244,0.609382108752202,1
"RNU6-220P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-225P",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RNU6-228P",0.476238243700479,0.0102294858191557,4.83300592057907,0.00211658872082036,0.998311207799038,1
"RNU6-237P",0.698754264397079,0.945160787429461,4.10437311815491,0.230281399916768,0.81787311297176,1
"RNU6-245P",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RNU6-252P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-254P",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RNU6-25P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-262P",0.708602425623587,-0.954696374593455,4.0738208123598,-0.234349132808431,0.814713945233892,1
"RNU6-264P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-26P",1.87647558669422,-0.0404456165624335,2.67370590744209,-0.0151271747763491,0.987930721104171,1
"RNU6-272P",0.486086404926988,-2.37611060888774,4.69034075586692,-0.506596584888971,0.612437905061039,1
"RNU6-277P",0.986411503907824,-3.39546823002753,3.84228419789682,-0.883710848845105,0.376852322388446,1
"RNU6-282P",1.00764602982977,-1.43743789068941,3.28397801221326,-0.43771239799521,0.661594780963281,1
"RNU6-289P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-28P",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RNU6-290P",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RNU6-291P",0.476238243700479,0.0102294858191557,4.83300592057907,0.00211658872082036,0.998311207799038,1
"RNU6-298P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-29P",1.71198143778484,-4.19165818715153,2.83818112384794,-1.47688184941086,0.139707311126197,1
"RNU6-301P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-302P",1.5789175687622,0.182178693116582,2.66765152529778,0.068291788259805,0.945553360888779,1
