"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-19F9.2",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RP11-1B20.1",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-1C8.5",2.39679198367158,0.499995404572165,2.45188939915109,0.20392249533983,0.838414065693823,1
"RP11-1C8.6",2.26901428266342,-1.64470097592043,2.28820499790949,-0.718773439190557,0.472280525515694,1
"RP11-1C8.7",3.42111054621128,-2.51488495761267,1.88637612719992,-1.33318319785232,0.182471691843978,1
"RP11-1E4.1",1.07586365558178,3.58054616628261,3.40430375782913,1.05177047084831,0.292904870060598,1
"RP11-1H15.4",1.69501392953141,-2.55606782457314,2.70884007859785,-0.943602335467588,0.345372898345731,1
"RP11-1I2.1",1.39477971459457,2.24617376450804,3.16418173394193,0.709875080945418,0.477781604490441,1
"RP11-1O2.1",1.25305829507607,3.81044914163252,3.1744314524558,1.20035640986504,0.230000950391305,1
"RP11-202G11.2",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-202K23.1",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RP11-203E8.1",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-203F10.5",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RP11-203H19.2",3.90885866976602,-1.57545932807318,1.70392660802878,-0.924605156495432,0.355171329823956,1
"RP11-203H2.1",2.76375823808626,-0.169548432266478,1.88664744853074,-0.0898675756292023,0.928392447762332,1
"RP11-203H2.2",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RP11-203M5.2",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-204M4.4",0.68890610317057,2.95813157660482,4.43890239088802,0.666410593455972,0.505148693210581,1
"RP11-205A8.4",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-205K6.3",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-206L1.3",3.62393024445486,-0.992209941461729,1.70831666860508,-0.580811485186709,0.561367513558372,1
"RP11-206L10.19",0.846228287858252,3.23028865378457,4.09126508045157,0.789557408347647,0.429786290382534,1
"RP11-206L10.4",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-206M11.7",1.23455258335371,0.598835444205451,2.94490248571882,0.203346442576445,0.838864257800425,1
"RP11-207C16.4",1.20453699177708,-3.68651178376704,3.25772797162344,-1.1316205084889,0.257794014142354,1
"RP11-209B12.1",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-209D14.4",1.91633933949736,1.57058415793755,2.35358289992036,0.667316268311898,0.50457013707775,1
"RP11-209K10.2",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-20B24.4",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RP11-20B24.5",1.94588382317688,-0.693207438106125,2.27575128981542,-0.304605973951727,0.760666269569339,1
"RP11-20D14.6",0.810755067882457,1.18204143196995,3.88159267730036,0.304524851070169,0.760728062790176,1
"RP11-20G13.1",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RP11-20G13.5",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-20I23.7",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-20J15.6",0.476238243700479,0.0102294858191557,4.83300592057907,0.00211658872082036,0.998311207799038,1
"RP11-20M7.1",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RP11-20O13.1",0.75831433965323,1.05991066683649,3.68604149868248,0.287547133480547,0.773693417656687,1
"RP11-20O22.1",0.511711463676274,2.51531334050804,4.59466110933133,0.54744262539835,0.584074677650647,1
"RP11-210K20.2",2.27340481549076,-0.910262615069138,2.33071664652485,-0.390550527206454,0.696129500349588,1
"RP11-210K20.5",0.935508979147526,1.50991375542969,3.65751791318044,0.412824705516403,0.679735049344345,1
"RP11-210M15.1",0.935508979147526,1.50991375542969,3.65751791318044,0.412824705516403,0.679735049344345,1
"RP11-210M15.4",0.476238243700479,0.0102294858191557,4.83300592057907,0.00211658872082036,0.998311207799038,1
"RP11-211A18.3",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-211N11.5",2.04803646543575,0.128527821290783,2.19804085374388,0.0584738091068071,0.953371224094264,1
"RP11-211N11.7",2.07924266774303,-0.567918404130215,2.59285097738122,-0.219032412230576,0.82662479942588,1
"RP11-212H11.5",0.68890610317057,2.95813157660482,4.43890239088802,0.666410593455972,0.505148693210581,1
"RP11-213H15.1",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-213H15.5",1.21877568583093,-3.70186207856991,3.2077715510204,-1.15402921301935,0.24848819240415,1
"RP11-214C8.6",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RP11-214F16.8",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RP11-214K3.18",2.48168214213351,-0.514631940946805,1.98409310514398,-0.259378927134299,0.795342887198731,1
"RP11-214K3.25",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-214O1.1",1.48388427353025,-0.930323517722107,2.55100756005892,-0.364688655685764,0.715343827708399,1
"RP11-214O1.3",1.03327108857906,1.70380026362014,3.26959442921272,0.521104467391203,0.602293999031361,1
"RP11-215P8.2",3.77852361494296,-0.479332542457846,1.64537118352443,-0.291321828932911,0.770805194037413,1
"RP11-216B9.6",3.4740223823376,0.438136483193766,1.88763699215027,0.23210844299818,0.816453787374375,1
"RP11-216B9.8",0.810755067882457,1.18204143196995,3.88159267730036,0.304524851070169,0.760728062790176,1
"RP11-216B9.9",2.54005160665901,2.05900456819767,2.19326623230017,0.93878460255977,0.347841345894413,1
"RP11-218C14.8",3.20333265108029,1.19206292243518,1.81673555286955,0.656156544386607,0.511723405781038,1
"RP11-218E20.2",0.478967057900064,-2.35679426763392,4.89370809857205,-0.481596821911305,0.630092384284694,1
"RP11-218I21.2",4.09590147048683,-1.74318852306529,1.76909294208958,-0.985357231150509,0.324448629885985,1
"RP11-218M11.3",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-218M11.7",1.37490725978796,2.18837129835319,3.1949146533407,0.684954540511734,0.49337260766344,1
"RP11-219B17.3",2.76222003461733,-2.0168966083578,2.13386959895288,-0.945182690332864,0.344565614992433,1
"RP11-219B17.4",0.486086404926988,-2.37611060888774,4.69034075586692,-0.506596584888971,0.612437905061039,1
"RP11-219B4.5",2.36831459556388,0.535241592218048,2.4611055007292,0.217480149493576,0.827834175210976,1
"RP11-219B4.7",1.48661308772983,-2.18215174679245,2.86425996224473,-0.761855339793351,0.44614634729948,1
"RP11-219E7.1",0.846228287858252,3.23028865378457,4.09126508045157,0.789557408347647,0.429786290382534,1
"RP11-219E7.2",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RP11-219E7.3",1.41038047976375,3.96781046823299,3.3608106018566,1.18061114959619,0.237757232320079,1
"RP11-219G17.8",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RP11-219G17.9",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-21A20.1",1.3054990233053,3.86369829999314,3.13126912695646,1.23390808753274,0.217237155526527,1
"RP11-21A7A.4",1.21046572807335,2.01182645374733,3.08038068526408,0.653109683284116,0.513685570050997,1
